STATION_ID,STATION_NA,WATERBODY_,LATITUDE,LONGITUDE,RESULT_COU,BEGIN_DATE,END_DATE,TMDL_RUN,WATER_QUAL,BIOLOGY_ST,Name,CreekID,Total_m,CLASS,Distance
21FLA   24010600,AINGER CRK AT SR 775 BRDG,2052,26.93080000000,-82.33690000000,321.00000000000,1972.00000000000,1998.00000000000,,1.00000000000,0.00000000000,Rock Creek,CC01,6443.08290956000,3M,8.70880721
21FLCHARLBANG1,Ainger Cr off  776 at Marina Isles condo,2052,26.93050000000,-82.33630000000,2155.00000000000,1999.00000000000,2020.00000000000,,1.00000000000,0.00000000000,Rock Creek,CC01,6443.08290956000,3M,41.09711454
21FLFTM SARABY0017FTM,Rock Creek @ Placida Blvd. Boat Ramp~WB2052-1,2052,26.93044000000,-82.33622000000,121.00000000000,2007.00000000000,2007.00000000000,,1.00000000000,0.00000000000,Rock Creek,CC01,6443.08290956000,3M,47.20321097
21FLFTM SARABY0018FTM,Rock Creek @ Farlow's Restaurant~WB2052-2,2052,26.93619000000,-82.33008000000,121.00000000000,2007.00000000000,2007.00000000000,,1.00000000000,0.00000000000,Rock Creek,CC01,6443.08290956000,3M,59.72106232
21FLFTM SARABY0019FTM,Rock Creek @ 1167 Exeter Rd.~WB2052-3,2052,26.94339000000,-82.32583000000,121.00000000000,2007.00000000000,2007.00000000000,,1.00000000000,0.00000000000,Rock Creek,CC01,6443.08290956000,3M,59.80305435
21FLFTM SARABY0020FTM,Rock Creek @ 1190 Lampp Dr.~WB2052-4,2052,26.94172000000,-82.32978000000,121.00000000000,2007.00000000000,2007.00000000000,,1.00000000000,0.00000000000,Rock Creek,CC01,6443.08290956000,3M,2.89438967
21FLGW  27124,SF7-SS-2065 UNKNOWN,2052,26.93883000000,-82.32879000000,20.00000000000,2005.00000000000,2005.00000000000,,1.00000000000,0.00000000000,Rock Creek,CC01,6443.08290956000,3M,18.02276333
21FLSWFD764157,LBM2009062612,2052,26.93117000000,-82.33467000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,Rock Creek,CC01,6443.08290956000,3M,42.11976140
21FLSWFD764158,LBM2009062613,2052,26.93317000000,-82.33300000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,Rock Creek,CC01,6443.08290956000,3M,45.75976964
21FLSWFD764238,LBM2009081909,2052,26.93083000000,-82.33533000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,Rock Creek,CC01,6443.08290956000,3M,2.00444156
