FID_1,OBJECTID,STATION_ID,STATION_NA,WATERBODY_,COMMENTS,LATITUDE,LONGITUDE,RESULT_COU,BEGIN_DATE,END_DATE,TMDL_RUN,WATER_QUAL,BIOLOGY_ST,FID_2,FID_TidalC,OBJECTID_1,Name,CreekID,Total_m,FID_WBID_R,OBJECTID_2,FID_Master,HUC,WBID,DISTRICT,PLANUNIT,GROUP_NUM,GROUP_NAME,BASIN_1,WBUNIT,BODY,CLASS,CHANGES,WBID_Edits,Miles,ParentWBID,areaPH,Acres,Shape_Leng,Shape_Area,Distance
222,8975,21FLA   24010600,AINGER CRK AT SR 775 BRDG,2052,,26.93080000000,-82.33690000000,321.00000000000,1972.00000000000,1998.00000000000,,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,8.70880721
336,17611,21FLCHARLBANG1,Ainger Cr off  776 at Marina Isles condo,2052,"Added 12/17/02;8/15/03 Chg WBID from 8054 Rob Perlowski; Lat/long updated based on values in Florida STORET, Run 50 - P.Homann; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.93050000000,-82.33630000000,2155.00000000000,1999.00000000000,2020.00000000000,,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,41.09711454
788,27850,21FLFTM SARABY0017FTM,Rock Creek @ Placida Blvd. Boat Ramp~WB2052-1,2052,j hand 9/2007,26.93044000000,-82.33622000000,121.00000000000,2007.00000000000,2007.00000000000,,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,47.20321097
789,27851,21FLFTM SARABY0018FTM,Rock Creek @ Farlow's Restaurant~WB2052-2,2052,j hand 9/2007,26.93619000000,-82.33008000000,121.00000000000,2007.00000000000,2007.00000000000,,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,59.72106232
790,27852,21FLFTM SARABY0019FTM,Rock Creek @ 1167 Exeter Rd.~WB2052-3,2052,j hand 9/2007,26.94339000000,-82.32583000000,121.00000000000,2007.00000000000,2007.00000000000,,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,59.80305435
791,27853,21FLFTM SARABY0020FTM,Rock Creek @ 1190 Lampp Dr.~WB2052-4,2052,j hand 9/2007,26.94172000000,-82.32978000000,121.00000000000,2007.00000000000,2007.00000000000,,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,2.89438967
1284,40572,21FLGW  27124,SF7-SS-2065 UNKNOWN,2052,joe hand 9/11/2006  PH,26.93883000000,-82.32879000000,20.00000000000,2005.00000000000,2005.00000000000,,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,18.02276333
1952,82126,21FLSWFD764157,LBM2009062612,2052,"New Station assigned to 2052, Run 44 - P.Homann; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.93117000000,-82.33467000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,42.11976140
1953,82127,21FLSWFD764158,LBM2009062613,2052,"New Station assigned to 2052, Run 44 - P.Homann; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.93317000000,-82.33300000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,45.75976964
1962,82149,21FLSWFD764238,LBM2009081909,2052,"New Station assigned to 2052, Run 44 - P.Homann; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.93083000000,-82.33533000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,2.00444156
